operatorId,geohash,address,lat,lng,acCount,dcCount,hdcCount,maxPowerKw
PL*GWP,0Oy_IT1y,"Warszawa, Toruńska, 90",52.2987357,21.0303199,0,0,4,175.0
PL*JMG,0Oy_IZda,"Warszawa, Toruńska, 90",52.298863,21.030783,6,0,0,22.0
PL*PJJ,0Oy_JsmP,"Warszawa, Artyleryjska, 49",52.301744,21.037395,0,0,2,200.0
PL*JMG,0Oy_LAWU,"Warszawa, Krasnobrodzka, 5",52.3007806,21.0389095,1,2,0,39.0
PL*7US,0Oy_QNIY,"Warszawa, Marywilska, 44",52.319385,21.00858,2,0,0,22.0
PL*7US,0Oy_QVtn,"Warszawa, Marywilska, 44",52.321747,21.007189,2,0,0,22.0
PL*2HT,0Oy_TnWn,"Warszawa, Bruszewska 22, _",52.325381,21.024482,0,0,2,150.0
PL*ELP,0Oy_hmGv,"Warszawa, Głębocka, 15",52.3021536,21.0569806,0,0,8,180.0
PL*GWN,0Oy_hzr2,"Warszawa, Głębocka, 15",52.303694,21.058305,1,2,0,50.0
PL*Q55,0Oy_mHgs,"Warszawa, Przy Trasie 5, N/A",52.308016,21.06272,1,2,0,60.0
PL*GWN,0Oy_mRXT,"Warszawa, Skarbka z Gór, 8",52.31046,21.060851,1,0,0,11.0
PL*SCR,0Oy_nKU1,"Warszawa, Głębocka, 60",52.3119705,21.0651857,2,0,0,22.0
PL*NOX,0Oy_p27v,"Warszawa, Malborska, 41",52.30458865,21.07957501,2,0,0,22.0
PL*GWN,0Oy_qfFj,"Ząbki, Radzymińska, 324",52.2995077,21.0867396,0,3,0,149.0
PL*GWN,0Oy_r5j8,"Ząbki, Władysława Andersa, 545",52.3041037,21.0919603,2,0,0,22.0
PL*GWP,0Oy_rMMt,"Ząbki, Radzymińska, 301",52.3020377,21.086123,1,0,2,150.0
PL*GWP,0Oy_rOEn,"Ząbki, Radzymińska, 301",52.3018868,21.0866514,1,0,2,150.0
PL*TSL,0Oy_rOsl,"Ząbki, Radzymińska, 334",52.3019,21.088114,0,0,12,250.0
PL*GWP,0Oy_rRrW,"Targówek, Malborska, 51",52.304238,21.084364,4,0,0,22.0
PL*8BA,0Oy_rcZt,"Marki, aleja Marszałka Józefa Piłsudskiego, 1",52.3051746,21.0859415,1,0,0,22.0
PL*MYE,0Oy_re5l,"Marki, al. Marszałka Józefa Piłsudskiego, 1",52.305124,21.087741,1,1,0,50.0
PL*WUA,0Oy_s53z,"Warszawa, Geodezyjna, 76",52.309809,21.080608,0,6,0,120.0
PL*WUA,0Oy_ywwD,"Warszawa, Głebocka, 110",52.31957775,21.06702968,1,2,0,120.0
PL*P2W,0OygdY8N,"Nadarzyn, Stara Wieś, al. Katowicka, 316",52.07344341,20.76834097,0,0,4,350.0
PL*Q55,0Oyhm3AB,"Nadarzyn, Mszczonowska 21, N/A",52.091474,20.803946,1,2,0,60.0
PL*74W,0OyhnIF8,"Nadarzyn, Graniczna, 3-5",52.091516,20.7999429,1,0,0,22.0
PL*FEH,0OyhniFU,"Nadarzyn, Mszczonowska, 19",52.091584,20.803797,0,2,0,75.0
PL*JKN,0Oyhyzy7,"Nadarzyn, Pruszkowska, 38",52.10132865,20.80488237,0,0,0,0.0
PL*PRH,0OyiOWfa,"Stefanowo, Urocza, 8",52.047218,20.864986,1,0,2,160.0
PL*GWN,0OyiZqvs,"Wólka Kosowska, Nadrzeczna, 16",52.0586264,20.8628633,1,0,2,150.0
NL*TNM,0Oyj3Ayo,"Sękocin Stary, Logistyczna 4, N/A",52.114284,20.886345,0,2,0,130.0
PL*GWN,0OyjLa06,"Łazy, Łączności, 105",52.083808,20.868461,1,0,0,11.0
PL*59Y,0OyjRcGQ,"Nadarzyn, Aleja Katowicka, 62",52.1071048,20.833286,0,2,0,120.0
PL*GWP,0OyjdgYi,"Wolica, Aleja Katowicka, 47",52.113602,20.8584001,2,4,0,40.0
PL*GWP,0OyjdjVe,"Wolica, Aleja Katowicka, 43",52.114697,20.859459,1,1,0,25.0
PL*Q55,0Oyk0DMv,"Pruszków, Bolesława Prusa, 121",52.1532445,20.7882676,1,2,0,50.0
PL*3T1,0Oyke77H,"Pruszków, Działkowa 33, N/A",52.155698,20.786153,1,2,0,60.0
PL*JMG,0Oykxf0c,"Pruszków, Aleja Wojska Polskiego, 127",52.1522062,20.7912304,2,0,0,22.0
PL*GWP,0OylJFwr,"Pruszków, Parzniewska, 10",52.1710915,20.76503,0,2,0,125.0
PL*Q55,0OylpNQp,"Pruszków, Bohaterów Warszawy, 6",52.1710549,20.8107231,1,2,0,50.0
PL*WUA,0Oylr8P6,"Pruszków, Al. Jerozolimskie, 454",52.17312838,20.82769746,1,2,0,120.0
PL*GWN,0OylrY98,"Pruszków, Partyzantów, 19",52.17232,20.822509,1,0,0,11.0
PL*JMG,0Oym6BEE,"Falenty, Aleja Krakowska, 5A",52.1421984,20.9065234,2,1,0,24.0
PL*GWP,0OymmuZW,"Janki, Plac Szwedzki, 3",52.132379,20.8953099,4,0,0,22.0
PL*EON,0OymnowN,"Janki, Mszczonowska, 3",52.13588,20.894165,8,0,0,11.0
PL*WUA,0OymsMTe,"Janki, Al. Krakowska, 24",52.13235639,20.89862981,1,2,0,120.0
PL*NOX,0OymtCan,"Janki, plac Szwedzki, 3",52.13601044,20.89830174,2,0,0,22.0
PL*AMW,0Oymy9gd,"Raszyn, Sokołowska, 10",52.1459222,20.8935197,2,0,0,22.0
PL*QAB,0Oyn09hZ,"Warszawa, Edwarda Habicha, 5",52.2014488,20.8829627,1,0,0,22.0
PL*Q55,0Oyn0Llr,"Warszawa, Władysława Jagiełły, 6",52.1972053,20.8793253,1,2,0,50.0
PL*QAB,0Oyn30N~,"Warszawa, Cykady, 2",52.20607,20.8908255,2,0,0,20.0
PL*19X,0Oyn3qZH,"Warszawa, Plac Czerwca 1976r., 6",52.20225,20.8946,3,2,0,120.0
PL*WUA,0Oyn4ZTf,"Warszawa, Skoroszewska, 5B",52.18885586,20.8988016,1,2,0,120.0
PL*QAB,0Oyn8Tei,"Warszawa, Wiosny Ludów, 1A",52.2002649,20.8976549,2,0,0,11.0
PL*FEH,0OynD91B,"Reguły, al. Jerozolimskie, 335",52.1737341,20.85016304,0,2,0,100.0
PL*F9B,0OynFvSs,"Piastów, Księcia Józefa Poniatowskiego, brak",52.18212069,20.83986553,0,0,0,0.0
PL*3T1,0OynZITD,"Piastów, Warszawska 1, N/A",52.19066,20.85491,1,2,0,50.0
PL*19X,0OynZtwS,"Warszawa, Zagłoby, 16",52.192746,20.861064,1,0,2,160.0
PL*Z75,0Oyne6MF,"Warszawa, Władysława Jagiełły 52, 02-495 Warszawa, Polska, #",52.1991157,20.8732457,2,0,0,11.0
PL*4WT,0OynnMCb,"Michałowice, al. Jerozolimskie, 249b",52.180559,20.887959,0,1,0,30.0
PL*Q55,0OynnxIq,"Warszawa, Generała Kazimierza Sosnkowskiego, 2",52.1832102,20.890783,1,2,0,50.0
PL*GWP,0Oyntf3G,"Warszawa, Aleje Jerozolimskie, 239",52.184551,20.900587,2,0,0,22.0
PL*Q55,0OyotgPh,"Gołków, Pułku IV Ułanów 1, N/A",52.047709,20.989621,1,2,0,60.0
PL*GWN,0Oyp3NNF,"Zamienie, Arakowa, 6",52.1160001,20.9757849,1,0,0,11.0
PL*664,0Oyp8uZ6,"Warszawa, Karczunkowska, 145",52.109722,20.994167,2,0,0,11.0
PL*SSS,0OypG3CB,"Lesznowola, Gminna, 66",52.090858,20.9362085,2,0,0,22.0
PL*Q55,0OypLweY,"Lesznowola, Słoneczna, 178",52.0838333,20.9572197,1,1,0,50.0
PL*8BA,0OyqVrfA,"Piaseczno, Dworcowa, 21",52.0708195,21.0161725,1,0,0,22.0
PL*8BA,0OyqdUso,"Piaseczno, Sierakowskiego, 1",52.0740518,21.0286338,1,1,0,60.0
PL*U5E,0OyqdV55,"Piaseczno, PRZED PIERWSZYM ŁADOWANIEM KONIECZNY KONTAKT, _",52.075321,21.028511,1,2,0,22.0
PL*5E1,0Oyqdp3K,"Piaseczno, Armii Krajowej, 12",52.071033,21.036578,4,0,0,22.0
PL*8BA,0OyrBL3u,"Stara Iwiczna, Nowa, 4A",52.0824023,21.0112835,2,0,0,11.0
PL*Q55,0OyrDBVu,"Piaseczno, Okulickiego 3B, N/A",52.081755,21.017039,1,2,0,60.0
PL*FEH,0OyrDJdO,"Piaseczno, Okulickiego, 5",52.082349,21.019528,0,0,2,150.0
PL*NOX,0OyrDfRX,"Piaseczno, Puławska, 42",52.08624,21.0207699,1,0,0,22.0
PL*3T1,0OyrDrfG,"Piaseczno, Okulickiego 10, N/A",52.081754,21.027056,1,2,0,50.0
PL*GWN,0OyrGORD,"Piaseczno, Puławska, 42E",52.0878772,21.0209384,4,0,0,22.0
PL*WUA,0OyrGQA_,"Piaseczno, Puławska 37, 37",52.0887656,21.0169122,2,0,0,22.0
PL*AMW,0OyrGQA_,"Piaseczno, Raszyńska, 13",52.0890152,21.0168648,2,0,0,22.0
PL*8BA,0OyrHFti,"Piaseczno, Puławska, 47",52.0936922,21.0184729,1,0,0,22.0
PL*GWN,0OyrHfUC,"Piaseczno, Puławska, 46",52.096662,21.0213189,1,2,0,50.0
PL*8BA,0OyrIDhn,"Piaseczno, Chyliczkowska, 14",52.0761232,21.0304579,1,0,0,22.0
PL*35S,0OyrIe9V,"Piaseczno, Armii Krajowej 22, _",52.080242,21.033422,1,1,0,24.0
PL*8BA,0OyrNj~l,"Piaseczno, Geodetów, 148",52.0928558,21.0362655,1,0,0,22.0
PL*GWP,0OyrTFtj,"Warszawa, Puławska, 564",52.1051944,21.0181866,1,2,0,48.0
PL*GWP,0OyrTUE6,"Warszawa, Puławska, 558/560",52.107028,21.017194,7,0,6,150.0
PL*8BA,0OyrTaUX,"Warszawa, Puławska, 58",52.1057337,21.0208732,2,0,0,11.0
PL*19X,0OyrTlPp,"Mysiadło, Kuropatwy, 41",52.1054061,21.0227434,2,0,0,22.0
PL*6XQ,0Oys9uIv,"Warszawa, Hilarego Koprowskiego, 4",52.1587235,20.9939342,2,0,0,22.0
PL*Q55,0Oysksx_,"Dawidy Bankowe, Długa 15, N/A",52.131608,20.970864,1,2,0,60.0
PL*DPJ,0Oyt4M_6,"Warszawa, Konstruktorska, 12",52.187164,20.987897,2,0,0,22.0
PL*GJC,0Oyt4RR3,"Warszawa, ul.Żwirki i Wigury, 18",52.18931,20.98437,0,0,0,0.0
PL*GJC,0Oyt4VBy,"Warszawa, ul.Żwirki i Wigury, 18A",52.1901352,20.9839198,4,0,0,11.0
PL*6XQ,0Oyt4Z7~,"Warszawa, Suwak, 15",52.1886347,20.9875988,2,0,0,22.0
PL*19X,0Oyt5RoL,"Warszawa, Białej Floty, 1",52.194061,20.98455,2,0,2,300.0
PL*GWN,0OytDlaD,"Warszawa, Aleja Krakowska, 61",52.1705733,20.9348465,2,0,0,22.0
PL*TSL,0OytDmCQ,"Warszawa, Aleja Krakowska, 61",52.17029,20.936034,0,0,16,175.0
PL*PXP,0OytGE8F,"Warszawa, Kolumba 43, _",52.176409,20.929948,0,0,2,250.0
PL*DJU,0OytGm8t,"Warszawa, Mineralna, 5",52.1755306,20.9372205,0,1,0,30.0
PL*WUA,0OytJVVJ,"Warszawa, Aleja Krakowska, 81",52.17391873,20.93994067,2,0,0,22.0
PL*JMG,0OytP2vR,"Warszawa, Sekundowa, 1A",52.1841146,20.9591571,1,0,0,22.0
PL*JMG,0OytP3XG,"Warszawa, Sekundowa, 1",52.1845555,20.9579869,0,1,0,22.0
PL*JMG,0OytP8l5,"Warszawa, Sekundowa, 1b",52.1841299,20.9598953,0,1,0,25.0
PL*6XQ,0OytQ5x1,"Warszawa, Jutrzenki, 92",52.188684,20.9273725,2,0,0,22.0
PL*GWP,0OytT2t8,"Warszawa, Równoległa, 2",52.195028,20.937306,1,2,0,100.0
PL*JMG,0OytT5gj,"Warszawa, Łopuszańska, 72",52.1944634,20.9382612,1,0,0,22.0
PL*JMG,0OytT8l2,"Warszawa, Łopuszańska, 72",52.1948859,20.937905,0,1,0,22.0
PL*19X,0OytTFQY,"Warszawa, Jutrzenki, 114",52.193413,20.929295,1,0,0,11.0
PL*6XQ,0OytWYGn,"Warszawa, Aleje Jerozolimskie, 190",52.1988582,20.9318786,2,0,0,22.0
PL*KG6,0OytWamP,"Warszawa, Jutrzenki, 137A",52.199186,20.933856,4,0,0,22.0
