operatorId,geohash,address,lat,lng,acCount,dcCount,hdcCount,maxPowerKw
DE*EBW,0DmRdWAX,"Stuttgart, Breitscheidstraße",48.777527,9.164347,2,0,0,22.0
DE*EBW,0DmRdgmM,"Stuttgart, Rotebühlstr.",48.77407,9.169138,0,0,12,300.0
DE*EBW,0DmRdjbV,"Stuttgart, Rotebühlplatz",48.774696,9.170192,6,0,0,22.0
DE*EBW,0DmRdtp4,"Stuttgart, Theodor-Heuss-Straße",48.776142,9.172493,2,0,0,22.0
DE*EBW,0DmRe8WR,"Stuttgart, Katharinenstraße",48.77262,9.182476,2,0,0,22.0
DE*EBW,0DmReGtR,"Stuttgart, Hauptstätter Str.",48.770016,9.175528,2,0,0,22.0
DE*EBW,0DmReJKq,"Stuttgart, Heusteigstraße",48.76903,9.177197,2,0,0,22.0
DE*EBW,0DmReLqg,"Stuttgart, Mozartstraße",48.76905,9.179127,2,0,0,22.0
DE*EBW,0DmReNfu,"Stuttgart, Hauptstätter Straße",48.77089,9.177418,2,0,0,22.0
DE*EBW,0DmReulz,"Stuttgart, Wächterstraße",48.7703,9.1844,2,0,0,22.0
DE*EBW,0DmRf4TB,"Stuttgart, Charlottenplatz",48.77661,9.182192,2,0,0,22.0
DE*EBW,0DmRfnLS,"Stuttgart, Dorotheenstr.",48.77593,9.181477,2,0,0,22.0
DE*EBW,0DmRppTN,"Stuttgart, Spaichinger Str.",48.7416,9.21451,2,0,0,22.0
DE*EBW,0DmRrD5P,"Stuttgart, Kirchheimer Straße",48.741688,9.219993,2,0,0,22.0
DE*EBW,0DmRt_g6,"Stuttgart, Weinklinge",48.75642,9.217342,2,0,0,22.0
DE*EBW,0DmS4FeY,"Nellingen, In den Anlagen",48.71577,9.294615,2,0,0,22.0
DE*EBW,0DmS4g9J,"Nellingen, Esslinger Str.",48.71416,9.3009,2,0,0,22.0
DE*EBW,0DmS87mk,"Esslingen, Zollernplatz",48.728256,9.304733,2,0,0,22.0
DE*EBW,0DmS9fN1,"Esslingen am Neckar, Uhlandstr.",48.73478,9.298707,2,0,0,22.0
DE*EBW,0DmSaumd,"Ostfildern, Helmuth-Hirth-Str.",48.715343,9.272136,2,0,0,22.0
DE*EBW,0DmSdKJZ,"Ostfildern, Plochinger Str.",48.730446,9.254951,2,0,0,22.0
DE*EBW,0DmSot_j,"Denkendorf, BAB8, Hoher Rain",48.69387,9.303736,1,2,2,150.0
DE*EBW,0DmSrT~U,"Denkendorf, Mühlhaldenstr.",48.701084,9.308387,2,0,0,22.0
DE*TSL,0DmSuUbb,"Denkendorf, Marie-Curie-Straße",48.706898,9.306378,0,0,12,250.0
DE*EBW,0DmSui1C,"Denkendorf, Rechbergstraße",48.70292,9.31328,0,2,4,200.0
DE*EBW,0DmTLjbt,"Esslingen am Neckar, Weilstraße",48.74235,9.268862,0,8,0,100.0
DE*EBW,0DmTobMw,"Esslingen, Bahnhofplatz",48.739304,9.299276,2,0,0,22.0
DE*EBW,0DmTq08J,"Esslingen, Ottilienplatz",48.74039,9.312379,2,0,0,22.0
DE*EBW,0DmTqTGS,"Esslingen, Oberer Metzgerbach",48.73888,9.306795,2,0,0,22.0
DE*EBW,0DmTrALe,"Esslingen, Wehrneckarstr.",48.740555,9.306107,2,0,0,22.0
DE*EBW,0DmTrihW,"Esslingen, Urbanstr.",48.74107,9.313462,2,0,0,22.0
DE*EBW,0DmTuzkT,"Esslingen am Neckar, Wäldenbronner Str.",48.75034,9.312714,2,0,0,22.0
DE*EBW,0DmTv9Sr,"Esslingen am Neckar, Langer Weg",48.75708,9.313677,2,0,0,22.0
DE*EBW,0DmTyuna,"Esslingen, Sulzgrieser Str.",48.75933,9.293788,2,0,0,22.0
DE*EBW,0DmU5KG_,"Stuttgart, Duisburger Straße",48.807228,9.210724,2,0,0,22.0
DE*EBW,0DmU8MwG,"Stuttgart, Am Römerkastell",48.814262,9.209683,2,0,0,22.0
DE*EBW,0DmU9IkX,"Stuttgart, Dessauer Straße",48.817818,9.209615,2,0,0,22.0
